CCODE,ARDAID,ABBREV,CNAME,FIRSTYEAR,FIRSTMONTH,FIRSTDAY,LASTYEAR,LASTMONTH,LASTDAY,XCPOSNAME,XCFULLNAME,XCGIVENNAME,XCFAMNAME,XCRNAME,XCRID,XCR2ID,REMARKS
225,216,SWZ,Switzerland,1989,1,1,1989,12,31,President,Jean-Pascal Delamuraz,Jean-Pascal,Delamuraz,Protestant (NFI),1400,1300,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,1990,1,1,1990,12,31,President,Arnold Koller,Arnold,Koller,Roman Catholic,1222,1200,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,1991,1,1,1991,12,31,President,Flavio Cotti,Flavio,Cotti,Roman Catholic,1222,1200,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,1992,1,1,1992,12,31,President,Renï¿½ Felber,Renï¿½,Felber,Roman Catholic,1222,1200,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,1993,1,1,1993,12,31,President,Adolf Ogi,Adolf,Ogi,Protestant (NFI),1400,1300,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,1994,1,1,1994,12,31,President,Otto Stich,Otto,Stich,Roman Catholic,1222,1200,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,1995,1,1,1995,12,31,President,Kaspar Villiger,Kaspar,Villiger,Protestant (NFI),1400,1300,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,1996,1,1,1996,12,31,President,Jean-Pascal Delamuraz,Jean-Pascal,Delamuraz,Protestant (NFI),1400,1300,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,1997,1,1,1997,12,31,President,Arnold Koller,Arnold,Koller,Roman Catholic,1222,1200,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,1998,1,1,1998,12,31,President,Flavio Cotti,Flavio,Cotti,Roman Catholic,1222,1200,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,1999,1,1,1999,12,31,President,Ruth Dreifuss,Ruth,Dreifuss,Jewish,2100,2100,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2000,1,1,2000,12,31,President,Adolf Ogi,Adolf,Ogi,Protestant (NFI),1400,1300,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2001,1,1,2001,12,31,President,Moritz Leuenberger,Moritz,Leuenberger,Protestant (NFI),1400,1300,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2002,1,1,2002,12,31,President,Kaspar Villiger,Kaspar,Villiger,Protestant (NFI),1400,1300,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2003,1,1,2003,12,31,President,Pascal Couchepin,Pascal,Couchepin,Roman Catholic,1222,1200,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2004,1,1,2004,12,31,President,Joseph Deiss,Joseph,Deiss,Roman Catholic,1222,1200,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2005,1,1,2005,12,31,President,Samuel Schmid,Samuel,Schmid,Protestant (NFI),1400,1300,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2006,1,1,2006,12,31,President,Moritz Leuenberger,Moritz,Leuenberger,Protestant (NFI),1400,1300,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2007,1,1,2007,12,31,President,Micheline Anne-Marie Calmy-Rey,Micheline,Calmy-Rey,Roman Catholic,1222,1200,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2008,1,1,2008,12,31,President,Pascal Couchepin,Pascal,Couchepin,Roman Catholic,1222,1200,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2009,1,1,2009,12,31,President,Hans-Rudolf Merz,Hans-Rudolf,Merz,Protestant (NFI),1400,1300,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2010,1,1,2010,12,31,President,Doris Leuthard,Doris,Leuthard,Roman Catholic,1222,1200,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2011,1,1,2011,12,31,President,Micheline Anne-Marie Calmy-Rey,Micheline,Calmy-Rey,Roman Catholic,1222,1200,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2012,1,1,2012,12,31,President,Eveline Widmer-Schlumpf,Eveline,Widmer-Schlumpf,Protestant (NFI),1400,1300,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2013,1,1,2013,12,31,President,"Ulrich ""Ueli"" Maurer","Ulrich ""Ueli""",Maurer,Protestant (NFI),1400,1300,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2014,1,1,2014,12,31,President,Didier Burkhalter,Didier,Burkhalter,,,,
225,216,SWZ,Switzerland,2015,1,1,2015,12,31,President,Simonetta Myriam Sommaruga,Simonetta,Sommaruga,,,,
225,216,SWZ,Switzerland,2016,1,1,2016,12,31,President,"Johann Niklaus Schneider-Ammann, nï¿½ Johann Niklaus Schneider",Johann,Schneider-Ammann,Protestant (NFI),1400,1300,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2017,1,1,2017,12,31,President,Doris Leuthard,Doris,Leuthard,Roman Catholic,1222,1200,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
225,216,SWZ,Switzerland,2018,1,1,2018,12,31,President,Alain Berset,Alain,Berset,,,,
225,216,SWZ,Switzerland,2019,1,1,2019,12,31,President,"Ulrich ""Ueli"" Maurer","Ulrich ""Ueli""",Maurer,Protestant (NFI),1400,1300,"Dictionnaire Historique de la Suisse, http://www.hls-dhs-dss.ch"
230,208,SPN,Spain,1939,4,1,1975,10,29,"military dictator, styled Regent of the Kingdom",Francisco Paulino Hermenegildo Teï¿½dulo Franco y Bahamonde,Francisco,Franco,Roman Catholic,1222,1200,
230,208,SPN,Spain,1975,10,30,1975,11,8,King,"Juan Carlos Alfonso Vï¿½ctor Marï¿½a de Borbï¿½n y Borbï¿½n-Dos Sicilias, as Juan Carlos I",Juan Carlos I,,Roman Catholic,1222,1200,"designated successor to Franco, who was in a coma"
230,208,SPN,Spain,1975,11,9,1976,6,30,Prime Minister (President of the Government),"Carlos Arias-Navarro, born Carlos Arias y Navarro",Carlos,"Arias-Navarro,",Roman Catholic,1222,1200,dates from Archigos
230,208,SPN,Spain,1976,7,1,1976,7,2,Interim Prime Minister (President of the Government),Fernando de Santiago y Dï¿½az de Mendï¿½vil,Fernando,Santiago,Roman Catholic,1222,1200,"from country expert; dates from Wikipedia, not Archigos"
230,208,SPN,Spain,1976,7,3,1981,1,28,Acting Prime Minister (President of the Government),"Adolfo Suï¿½rez y Gonzï¿½lez, Duke of Suï¿½rez",Adolfo,Suï¿½rez,Roman Catholic,1222,1200,"dates from Wikipedia, not Archigos"
230,208,SPN,Spain,1981,1,29,1981,2,24,Acting Prime Minister,"Leopoldo Calvo-Sotelo y Bustelo, Marquis of the Rï¿½a de Ribadeo",Leopoldo,Calvo-Sotelo,Roman Catholic,1222,1200,
230,208,SPN,Spain,1981,2,25,1982,12,1,Prime Minister (President of the Government),"Leopoldo Calvo-Sotelo y Bustelo, Marquis of the Rï¿½a de Ribadeo",Leopoldo,Calvo-Sotelo,Roman Catholic,1222,1200,
230,208,SPN,Spain,1982,12,2,1996,5,3,Prime Minister (President of the Government),Felipe Gonzï¿½lez Mï¿½rquez,Felipe,Gonzï¿½lez,Roman Catholic,1222,1200,
230,208,SPN,Spain,1996,5,4,2004,4,16,Prime Minister (President of the Government),Josï¿½ Marï¿½a Alfredo Aznar Lï¿½pez,Josï¿½ Marï¿½a,Aznar,Roman Catholic,1222,1200,
230,208,SPN,Spain,2004,4,17,2011,12,20,Prime Minister (President of the Government),Josï¿½ Luis Rodrï¿½guez Zapatero,Josï¿½ Luis,Zapatero,Agnostic,9001,9000,
230,208,SPN,Spain,2011,12,21,2018,6,1,Prime Minister (President of the Government),Mariano Rajoy Brey,Mariano,Rajoy,Roman Catholic,1222,1200,
230,208,SPN,Spain,2018,6,2,,,,Prime Minister (President of the Government),Pedro Sï¿½nchez Pï¿½rez-Castejï¿½n,Pedro,Sï¿½nchez,Atheist,9100,9100,
232,6,AND,Andorra,,,,1982,1,7,Co-Princes,(see remarks),,,Roman Catholic,1222,1200,"by definition; Bishop of Urgell and President of France, jointly"
232,6,AND,Andorra,1982,1,8,1984,5,20,Prime Minister,ï¿½scar Ribas Reig,ï¿½scar,Ribas,,,,
232,6,AND,Andorra,1984,5,21,1990,1,11,Prime Minister,Josep Pintat-Solans,Josep,Pintat-Solans,,,,
232,6,AND,Andorra,1990,1,12,1994,12,6,Prime Minister,ï¿½scar Ribas Reig,ï¿½scar,Reig,,,,
232,6,AND,Andorra,1994,12,7,2005,5,26,Prime Minister,Marc Fornï¿½ i Molnï¿½,Marc,Fornï¿½,,,,
232,6,AND,Andorra,2005,5,27,2009,6,4,Prime Minister,Albert Pintat Santolï¿½ria,Albert,Pintat (Santolï¿½ria),Roman Catholic,1222,1200,
232,6,AND,Andorra,2009,6,5,2011,4,27,Prime Minister,Jaume Bartumeu Cassany,Jaume,Bartumeu,,,,
232,6,AND,Andorra,2011,4,28,2011,5,11,Acting Prime Minister,Pere Lï¿½pez Agrï¿½s,Pere,Lï¿½pez,,,,
232,6,AND,Andorra,2011,5,12,2015,3,22,Prime Minister,Antoni Martï¿½ Petit,Antoni,Martï¿½,,,,
232,6,AND,Andorra,2015,3,23,2015,3,31,Acting Prime Minister,Gilbert Saboya Sunyï¿½,Gilbert,Saboya,,,,
232,6,AND,Andorra,2015,4,1,2019,5,15,Prime Minister,Antoni Martï¿½ Petit,Antoni,Martï¿½,,,,
232,6,AND,Andorra,2019,5,16,,,,Prime Minister,Xavier Espot Zamora,Xavier,Espot,,,,
235,181,POR,Portugal,1932,7,5,1968,9,15,Prime Minister,Antï¿½nio de Oliveira Salazar,Antï¿½nio,Salazar,Roman Catholic,1222,1200,end date from Archigos
235,181,POR,Portugal,1968,9,16,1968,9,26,Prime Minister (President of the Council of Ministers),vacant,,,,,,
235,181,POR,Portugal,1968,9,27,1974,4,24,Prime Minister (President of the Council of Ministers),Marcelo Josï¿½ das Neves Alves Caetano,Marcelo,Caetano,Roman Catholic,1222,1200,"likely, given awards"
235,181,POR,Portugal,1974,4,25,1974,5,15,President of the National Salvation Junta,Antï¿½nio Sebastiï¿½o Ribeiro de Spï¿½nola,Antï¿½nio,Spï¿½nola,Roman Catholic,1222,1200,
235,181,POR,Portugal,1974,5,16,1974,7,17,Prime Minister,Adelino da Palma Carlos,Adelino,Palma Carlos,,,,
235,181,POR,Portugal,1974,7,18,1975,9,18,Prime Minister,Vasco dos Santos Gonï¿½alves,Vasco,Gonï¿½alves,Atheist,9100,9100,
235,181,POR,Portugal,1975,9,19,1976,6,22,Prime Minister,Josï¿½ Baptista Pinheiro de Azevedo,Josï¿½,Pinheiro de Azevedo,,,,
235,181,POR,Portugal,1976,6,23,1976,7,22,Prime Minister,Vasco Fernando Leotte de Almeida e Costa,Vasco,Almeida e Costa,Roman Catholic,1222,1200,
235,181,POR,Portugal,1976,7,23,1978,8,27,Prime Minister,Mï¿½rio Alberto Nobre Lopes Soares,Mï¿½rio,Soares,Agnostic,9001,9000,
235,181,POR,Portugal,1978,8,28,1978,11,21,Prime Minister,Alfredo Jorge Nobre da Costa,Alfredo,Nobre da Costa,,,,
235,181,POR,Portugal,1978,11,22,1979,7,31,Prime Minister,Carlos Alberto da Mota Pinto,Carlos,Mota Pinto,,,,
235,181,POR,Portugal,1979,8,1,1980,1,2,Prime Minister,Maria de Lourdes Ruivo da Silva de Matos Pintasilgo,Maria,Pintasilgo,Roman Catholic,1222,1200,from 2011 (source no longer available)
235,181,POR,Portugal,1980,1,3,1980,12,3,Prime Minister,Francisco Manuel Lumbrales de Sï¿½ Carneiro,Francisco,Sï¿½ Carneiro,Roman Catholic,1222,1200,
235,181,POR,Portugal,1980,12,4,1981,1,8,Acting Prime Minister,Diogo Pinto de Freitas do Amaral,Diogo,Freitas do Amaral,Roman Catholic,1222,1200,
235,181,POR,Portugal,1981,1,9,1983,6,8,Prime Minister,Francisco Josï¿½ Pereira Pinto Balsemï¿½o,Francisco,Pinto Balsemï¿½o,Roman Catholic,1222,1200,from 2011 (source no longer available)
235,181,POR,Portugal,1983,6,9,1985,11,5,Prime Minister,Mï¿½rio Soares,Mï¿½rio,Soares,Agnostic,9001,9000,
235,181,POR,Portugal,1985,11,6,1995,10,27,Prime Minister,Anï¿½bal Antï¿½nio Cavaco Silva,Anï¿½bal,Cavaco Silva,Roman Catholic,1222,1200,
235,181,POR,Portugal,1995,10,28,2002,4,5,Prime Minister,Antï¿½nio Manuel de Oliveira Guterres,Antï¿½nio,Guterres,Roman Catholic,1222,1200,
235,181,POR,Portugal,2002,4,6,2004,7,16,Prime Minister,Josï¿½ Manuel Durï¿½o Barroso,Josï¿½ Manuel,Durï¿½o Barroso,Roman Catholic,1222,1200,
235,181,POR,Portugal,2004,7,17,2005,3,11,Prime Minister,Pedro Miguel de Santana Lopes,Pedro,Santana Lopes,Roman Catholic,1222,1200,
235,181,POR,Portugal,2005,3,12,2011,6,20,Prime Minister,Josï¿½ Sï¿½crates Carvalho Pinto de Sousa,Josï¿½,Sï¿½crates,Agnostic,9001,9000,
235,181,POR,Portugal,2011,6,21,2015,11,25,Prime Minister,Pedro Manuel Mamede Passos Coelho,Pedro,Passos Coelho,Roman Catholic,1222,1200,
235,181,POR,Portugal,2015,11,26,,,,Prime Minister,Antï¿½nio Luï¿½s Santos da Costa,Antï¿½nio,Costa,Agnostic,9001,9000,
255,90,GMY,Germany,1945,5,23,1949,5,22,(occupied),,,,,,,
265,,GDR,German Democratic Republic,1949,5,23,1949,10,6,(occupied),,,,,,,
265,,GDR,German Democratic Republic,1949,10,7,1950,7,24,President,Friedrich Wilhelm Reinhold Pieck,Wilhelm,Pieck,Atheist,9100,9100,likely
265,,GDR,German Democratic Republic,1950,7,25,1971,5,2,General Secretary (later First Secretary) of the Central Committee,Walter Ulbricht,Walter,Ulbricht,Atheist,9100,9100,
265,,GDR,German Democratic Republic,1971,5,3,1989,10,17,First Secretary (later General Secretary) of the Central Committee & Chairman of the Council of State (beginning 1976-10-29),Erich Honecker,Erich,Honecker,Atheist,9100,9100,
265,,GDR,German Democratic Republic,1989,10,18,1989,12,2,General Secretary of the Central Committee & Chairman of the Council of State,Egon Krenz,Egon,Krenz,Atheist,9100,9100,
265,,GDR,German Democratic Republic,1989,12,3,1989,12,5,Chairman of the State Council,vacant,,,,,,
265,,GDR,German Democratic Republic,1989,12,6,1990,4,4,Chairman of the State Council,Manfred Gerlach,Manfred,Gerlach,,,,
265,,GDR,German Democratic Republic,1990,4,5,1990,10,2,President of the People's Chamber,Sabine Bergmann-Pohl,Sabine,Bergmann-Pohl,Protestant (NFI),1400,1300,"Wikipedia entry; Archigos lists chief exec as Gregor Gysi, chairman of Party of Democratic Socialism"
260,,GFR,German Federal Republic,1949,5,23,1949,9,14,(occupied),,,,,,,
260,,GFR,German Federal Republic,1949,9,16,1963,10,15,Chancellor,Konrad Hermann Joseph Adenauer,Konrad,Adenauer,Roman Catholic,1222,1200,
260,,GFR,German Federal Republic,1963,10,16,1966,11,30,Chancellor,Ludwig Wilhelm Erhard,Ludwig,Erhard,Protestant (NFI),1400,1300,
260,,GFR,German Federal Republic,1966,12,1,1969,10,20,Chancellor,Kurt Georg Kiesinger,Kurt,Kiesinger,Roman Catholic,1222,1200,
260,,GFR,German Federal Republic,1969,10,21,1974,5,6,Chancellor,"Willy Brandt, nï¿½ Herbert Ernst Karl Frahm",Willy,Brandt,Protestant (NFI),1400,1300,
260,,GFR,German Federal Republic,1974,5,7,1974,5,15,Acting Chancellor,Walter Scheel,Walter,Scheel,Protestant (NFI),1400,1300,
260,,GFR,German Federal Republic,1974,5,16,1982,9,30,Chancellor,Helmut Heinrich Waldemar Schmidt,Helmut,Schmidt,Lutheran,1410,1300,
260,,GFR,German Federal Republic,1982,10,1,1990,10,2,Chancellor,Helmut Josef Michael Kohl,Helmut,Kohl,Roman Catholic,1222,1200,
255,90,GMY,Germany,1990,10,3,1998,10,26,Chancellor,Helmut Josef Michael Kohl,Helmut,Kohl,Roman Catholic,1222,1200,
255,90,GMY,Germany,1998,10,27,2005,11,21,Chancellor,Gerhard Fritz Kurt Schrï¿½der,Gerhard,Schrï¿½der,Lutheran,1410,1300,
255,90,GMY,Germany,2005,11,22,,,,Chancellor,Angela Dorothea Merkel,Angela,Merkel,Lutheran,1410,1300,
290,180,POL,Poland,1944,12,31,1947,2,4,President of the Popular Council,"Boles?aw Bierut, born Boles?aw Biernacki, aka Jerzy Boles?aw Bielak, aka Boles?aw Birkowski",Boles?aw,Bierut,Atheist,9100,9100,recognized by West 1945-07-05
290,180,POL,Poland,1947,2,5,1948,12,21,President of the Republic,"Boles?aw Bierut, born Boles?aw Biernacki, aka Jerzy Boles?aw Bielak, aka Boles?aw Birkowski",Boles?aw,Bierut,Atheist,9100,9100,
290,180,POL,Poland,1948,12,22,1956,3,12,Secretary General of the Central Committee,"Boles?aw Bierut, born Boles?aw Biernacki, aka Jerzy Boles?aw Bielak, aka Boles?aw Birkowski",Boles?aw,Bierut,Atheist,9100,9100,
290,180,POL,Poland,1956,3,13,1956,3,19,Secretary General of the Central Committee,vacant,,,,,,
290,180,POL,Poland,1956,3,20,1956,10,21,First Secretary of communist party,Edward Ochab,Edward,Ochab,Atheist,9100,9100,
290,180,POL,Poland,1956,10,22,1970,12,19,First Secretary of communist party,W?adys?aw Gomu?ka,W?adys?aw,Gomu?ka,Atheist,9100,9100,
290,180,POL,Poland,1970,12,20,1980,9,5,First Secretary of communist party,Edward Gierek,Edward,Gierek,Atheist,9100,9100,
290,180,POL,Poland,1980,9,6,1981,10,17,First Secretary of communist party,Stanis?aw Kania,Stanis?aw,Kania,Atheist,9100,9100,
290,180,POL,Poland,1981,10,18,1989,7,18,First Secretary of communist party,Wojciech Jaruzelski,Wojciech,Jaruzelski,Roman Catholic,1222,1200,
290,180,POL,Poland,1989,7,19,1989,12,30,President (of People's Republic),Wojciech Jaruzelski,Wojciech,Jaruzelski,Roman Catholic,1222,1200,
290,180,POL,Poland,1989,12,31,1990,12,21,President (of Republic),Wojciech Jaruzelski,Wojciech,Jaruzelski,Roman Catholic,1222,1200,
290,180,POL,Poland,1990,12,22,1995,12,22,President,Lech Wa??sa,Lech,Wa??sa,Roman Catholic,1222,1200,
290,180,POL,Poland,1995,12,23,2005,12,22,President,Aleksander Kwa?niewski,Aleksander,Kwa?niewski,Atheist,9100,9100,
290,180,POL,Poland,2005,12,23,2010,4,9,President,Lech Aleksander Kaczy?ski,Lech,Kaczy?ski,Roman Catholic,1222,1200,
290,180,POL,Poland,2010,4,10,2010,7,7,Acting President,Bronis?aw Maria Komorowski,Bronis?aw,Komorowski,Roman Catholic,1222,1200,
290,180,POL,Poland,2010,7,8,2010,7,8,Acting President,Bogdan Micha? Borusewicz,Bogdan,Borusewicz,Roman Catholic,1222,1200,
290,180,POL,Poland,2010,7,8,2010,8,5,Acting President,Grzegorz Juliusz Schetyna,Grzegorz,Schetyna,Roman Catholic,1222,1200,
290,180,POL,Poland,2010,8,6,2015,8,5,President,Bronis?aw Maria Komorowski,Bronis?aw,Komorowski,Roman Catholic,1222,1200,
290,180,POL,Poland,2015,8,6,,,,President,Andrzej Sebastian Duda,Andrzej,Duda,Roman Catholic,1222,1200,
305,15,AUS,Austria,1945,12,20,1953,4,1,Chancellor,Leopold Figl,Leopold,Figl,Roman Catholic,1222,1200,
305,15,AUS,Austria,1953,4,2,1961,4,10,Chancellor,Julius Raab,Julius,Raab,Roman Catholic,1222,1200,
305,15,AUS,Austria,1961,4,11,1964,4,1,Chancellor,Alfons Gorbach,Alfons,Gorbach,Roman Catholic,1222,1200,
305,15,AUS,Austria,1964,4,2,1970,4,20,Chancellor,Josef Klaus,Josef,Klaus,Roman Catholic,1222,1200,
305,15,AUS,Austria,1970,4,21,1983,5,23,Chancellor,Bruno Kreisky,Bruno,Kreisky,Jewish,2100,2100,non-practicing
305,15,AUS,Austria,1983,5,24,1986,6,15,Chancellor,"Alfred ""Fred"" Sinowatz",Alfred,Sinowatz,Roman Catholic,1222,1200,
305,15,AUS,Austria,1986,6,16,1997,1,27,Chancellor,Franz Vranitzky,Franz,Vranitzky,Roman Catholic,1222,1200,
305,15,AUS,Austria,1997,1,28,2000,2,3,Chancellor,Viktor Klima,Viktor,Klima,Roman Catholic,1222,1200,
305,15,AUS,Austria,2000,2,4,2007,1,10,Chancellor,Wolfgang Schï¿½ssel,Wolfgang,Schï¿½ssel,Roman Catholic,1222,1200,
305,15,AUS,Austria,2007,1,11,2008,12,1,Chancellor,Alfred Gusenbauer,Alfred,Gusenbauer,Roman Catholic,1222,1200,
305,15,AUS,Austria,2008,12,2,2016,5,8,Chancellor,Werner Faymann,Werner,Faymann,Roman Catholic,1222,1200,
305,15,AUS,Austria,2016,5,9,2016,5,16,Chancellor,Reinhold Mitterlehner,Reinhold,Mitterlehner,Roman Catholic,1222,1200,
305,15,AUS,Austria,2016,5,17,2017,12,17,Chancellor,Christian Kern,Christian,Kern,Not Religious,9001,9000,
305,15,AUS,Austria,2017,12,18,2019,5,27,Chancellor,Sebastian Kurz,Sebastian,Kurz,Roman Catholic,1222,1200,
305,15,AUS,Austria,2019,5,28,2019,6,2,Acting Chancellor,Hartwig Lï¿½ger,Hartwig,Lï¿½ger,,,,
305,15,AUS,Austria,2019,6,3,,,,Chancellor,Brigitte Bierlein,Brigitte,Bierlein,,,,
310,106,HUN,Hungary,1918,11,16,1919,1,10,Acting President,Mihï¿½ly ï¿½dï¿½m Gyï¿½rgy Miklï¿½s Kï¿½rolyi de Nagykï¿½roly,Mihï¿½ly,Kï¿½rolyi,Roman Catholic,1222,1200,
310,106,HUN,Hungary,1919,1,11,1919,3,20,President,Mihï¿½ly ï¿½dï¿½m Gyï¿½rgy Miklï¿½s Kï¿½rolyi de Nagykï¿½roly,Mihï¿½ly,Kï¿½rolyi,Roman Catholic,1222,1200,
310,106,HUN,Hungary,1945,11,15,1946,1,31,Prime Minster,Zoltï¿½n Tildy,Zoltï¿½n,Tildy,Hungarian Reformed,1422,1300,minister
310,106,HUN,Hungary,1946,2,1,1946,2,3,Acting Prime Minister,"Mï¿½tyï¿½s Rï¿½kosi, born Mï¿½tyï¿½s Rosenfeld",Mï¿½tyï¿½s,Rï¿½kosi,Atheist,9100,9100,
310,106,HUN,Hungary,1946,2,4,1947,5,30,Prime Minster,Ferenc Nagy,Ferenc,Nagy,,,,
310,106,HUN,Hungary,1947,5,31,1956,7,17,General Secretary of communist party,"Mï¿½tyï¿½s Rï¿½kosi, born Mï¿½tyï¿½s Rosenfeld",Mï¿½tyï¿½s,Rï¿½kosi,Atheist,9100,9100,
310,106,HUN,Hungary,1956,7,18,1956,10,24,General Secretary of communist party,Ern? Ger?,Ern?,Ger?,,,,
310,106,HUN,Hungary,1956,10,25,1988,5,26,General Secretary of communist party,"Jï¿½nos Kï¿½dï¿½r, born Jï¿½nos Jï¿½zsef Czermanik",Jï¿½nos,Kï¿½dï¿½r,Atheist,9100,9100,
310,106,HUN,Hungary,1988,5,27,1989,10,6,General Secretary of communist party,Kï¿½roly Grï¿½sz,Kï¿½roly,Grï¿½sz,,,,
310,106,HUN,Hungary,1989,10,7,1989,10,22,Chairman of the Council of Ministers,Miklï¿½s Nï¿½meth,Miklï¿½s,Nï¿½meth,Roman Catholic,1222,1200,"likely, albeit Communist"
310,106,HUN,Hungary,1989,10,23,1990,5,22,Provisional Prime Minister,Miklï¿½s Nï¿½meth,Miklï¿½s,Nï¿½meth,Roman Catholic,1222,1200,"likely, albeit Communist"
310,106,HUN,Hungary,1990,5,23,1993,12,11,Prime Minister,Jï¿½zsef Antall de Kisjen?,Jï¿½zsef,Antall,Roman Catholic,1222,1200,from 2011 (source no longer available)
310,106,HUN,Hungary,1993,12,12,1994,7,14,Prime Minister,Pï¿½ter Boross,Pï¿½ter,Boross,Hungarian Reformed,1422,1300,"likely, married there"
310,106,HUN,Hungary,1994,7,15,1998,7,5,Prime Minister,Gyula Horn,Gyula,Horn,Atheist,9100,9100,from 2011 (source no longer available)
310,106,HUN,Hungary,1998,7,6,2002,5,26,Prime Minister,Viktor Orbï¿½n,Viktor,Orbï¿½n,Hungarian Reformed,1422,1300,
310,106,HUN,Hungary,2002,5,27,2004,9,28,Prime Minister,Pï¿½ter Medgyessy,Pï¿½ter,Medgyessy,Roman Catholic,1222,1200,likely; descended from Transylvanian nobility
310,106,HUN,Hungary,2004,9,29,2009,4,13,Prime Minister,Ferenc Gyurcsï¿½ny,Ferenc,Gyurcsï¿½ny,Roman Catholic,1222,1200,"likely, given awards"
310,106,HUN,Hungary,2009,4,14,2010,5,28,Prime Minister,Gyï¿½rgy Gordon Bajnai,Gordon,Bajnai,,,,
310,106,HUN,Hungary,2010,5,29,,,,Prime Minister,Viktor Orbï¿½n,Viktor,Orbï¿½n,Hungarian Reformed,1422,1300,
315,,CZE,Czechoslovakia,1945,10,28,1948,6,6,President,Edvard Beneï¿½,Edvard,Beneï¿½,,,,
315,,CZE,Czechoslovakia,1948,6,7,1953,3,13,Chairman of communist party [& President beginning 6/14/48],Klement Gottwald,Klement,Gottwald,,,,
315,,CZE,Czechoslovakia,1953,3,14,1968,1,4,First Secretary of communist party [& President beginning 11/19/57],Antonï¿½n Novotnï¿½,Antonï¿½n,Novotnï¿½,Atheist,9100,9100,
315,,CZE,Czechoslovakia,1968,1,5,1969,4,17,First Secretary of communist party,Alexander Dub?ek,Alexander,Dub?ek,,,,
315,,CZE,Czechoslovakia,1969,4,18,1987,12,16,"First Secretary of communist party, later renamed General Secretary",Gustï¿½v Husï¿½k,Gustï¿½v,Husï¿½k,Atheist,9100,9100,
315,,CZE,Czechoslovakia,1987,12,17,1989,11,23,General Secretary of communist party,Miloï¿½ Jakeï¿½,Miloï¿½,Jakeï¿½,,,,
315,,CZE,Czechoslovakia,1989,11,24,1989,12,9,General Secretary of communist party,Karel Urbï¿½nek,Karel,Urbï¿½nek,,,,
315,,CZE,Czechoslovakia,1989,12,10,1989,12,28,unclear,unclear,,,,,,start date is that of President being forced to appoint non-communist gov't & of President's resignation; office & identity of chief executive unknown
315,,CZE,Czechoslovakia,1989,12,29,1992,7,19,President,Vï¿½clav Havel,Vï¿½clav,Havel,Roman Catholic,1222,1200,
315,,CZE,Czechoslovakia,1992,7,20,1992,12,31,Prime Minster,Jan Strï¿½skï¿½,Jan,Strï¿½skï¿½,,,,
316,65,CZR,Czech Republic,1993,1,1,1993,2,1,Prime Minister,Vï¿½clav Klaus,Vï¿½clav,Klaus,Hussite,1700,1700,"presumed, since President had not yet taken office"
